angle; absoluteError; relativeError
2;1,11022302462516E-16;1
4;0;NaN
6;1,11022302462516E-16;1
8;1,11022302462516E-16;1
10;0;NaN
12;0;NaN
14;0;NaN
16;1,11022302462516E-16;1
18;0;NaN
20;7,63278329429795E-17;1
22;1,11022302462516E-16;1
24;1,11022302462516E-16;1
26;0;NaN
28;0;NaN
30;0;NaN
32;0;NaN
34;0;NaN
36;5,55111512312578E-17;1
38;0;NaN
40;1,11022302462516E-16;1
42;5,20417042793042E-17;1
44;0;NaN
46;0;NaN
48;5,55111512312578E-17;1
50;0;NaN
52;0;NaN
54;0;NaN
56;0;NaN
58;5,55111512312578E-17;1
60;1,11022302462516E-16;1
62;0;NaN
64;5,55111512312578E-17;1
66;0;NaN
68;1,11022302462516E-16;1
70;5,55111512312578E-17;1
72;0;NaN
74;0;NaN
76;0;NaN
78;1,11022302462516E-16;1
80;0;NaN
82;0;NaN
84;1,11022302462516E-16;1
86;5,55111512312578E-17;1
88;1,11022302462516E-16;1
90;0;NaN
92;8,32667268468867E-17;1
94;0;NaN
96;0;NaN
98;0;NaN
100;0;NaN
102;5,55111512312578E-17;1
104;1,11022302462516E-16;1
106;0;NaN
108;2,08166817117217E-17;1
110;1,11022302462516E-16;1
112;0;NaN
114;0;NaN
116;0;NaN
118;1,11022302462516E-16;1
120;5,55111512312578E-17;1
122;1,11022302462516E-16;1
124;5,55111512312578E-17;1
126;0;NaN
128;1,11022302462516E-16;1
130;7,63278329429795E-17;1
132;0;NaN
134;0;NaN
136;2,77555756156289E-17;1
138;0;NaN
140;0;NaN
142;5,55111512312578E-17;1
144;0;NaN
146;5,55111512312578E-17;1
148;0;NaN
150;0;NaN
152;2,08166817117217E-17;1
154;0;NaN
156;0;NaN
158;5,55111512312578E-17;1
160;0;NaN
162;1,11022302462516E-16;1
164;0;NaN
166;1,11022302462516E-16;1
168;0;NaN
170;1,11022302462516E-16;1
172;2,22044604925031E-16;1
174;2,77555756156289E-17;1
176;0;NaN
178;1,11022302462516E-16;1
180;5,55111512312578E-17;1
182;0;NaN
184;0;NaN
186;1,11022302462516E-16;1
188;0;NaN
190;5,55111512312578E-17;1
192;1,11022302462516E-16;1
194;0;NaN
196;2,77555756156289E-17;1
198;0;NaN
