angle; absoluteError; relativeError
2;1,11022302462516E-16;1
4;1,11022302462516E-16;1
6;2,77555756156289E-17;1
8;0;NaN
10;5,55111512312578E-17;1
12;1,11022302462516E-16;1
14;0;NaN
16;8,32667268468867E-17;1
18;1,11022302462516E-16;1
20;1,11022302462516E-16;1
22;6,15826833971767E-17;1
24;1,11022302462516E-16;1
26;0;NaN
28;2,77555756156289E-17;1
30;1,11022302462516E-16;1
32;5,55111512312578E-17;1
34;0;NaN
36;1,11022302462516E-16;1
38;0;NaN
40;0;NaN
42;0;NaN
44;2,94902990916057E-17;1
46;1,11022302462516E-16;1
48;1,11022302462516E-16;1
50;8,32667268468867E-17;1
52;0;NaN
54;1,11022302462516E-16;1
56;5,55111512312578E-17;1
58;0;NaN
60;5,55111512312578E-17;1
62;1,11022302462516E-16;1
64;0;NaN
66;6,93889390390723E-17;1
68;0;NaN
70;0;NaN
72;5,55111512312578E-17;1
74;0;NaN
76;5,55111512312578E-17;1
78;0;NaN
80;0;NaN
82;5,55111512312578E-17;1
84;0;NaN
86;1,11022302462516E-16;1
88;4,85722573273506E-17;1
90;1,11022302462516E-16;1
92;0;NaN
94;2,77555756156289E-17;1
96;0;NaN
98;5,55111512312578E-17;1
100;0;NaN
102;1,11022302462516E-16;1
104;1,11022302462516E-16;1
106;1,11022302462516E-16;1
108;0;NaN
110;5,55111512312578E-17;1
112;0;NaN
114;0;NaN
116;1,11022302462516E-16;1
118;0;NaN
120;5,55111512312578E-17;1
122;5,55111512312578E-17;1
124;1,11022302462516E-16;1
126;5,55111512312578E-17;1
128;0;NaN
130;0;NaN
132;1,31838984174237E-16;1
134;0;NaN
136;0;NaN
138;0;NaN
140;0;NaN
142;5,55111512312578E-17;1
144;0;NaN
146;0;NaN
148;0;NaN
150;1,11022302462516E-16;1
152;1,11022302462516E-16;1
154;1,45716771982052E-16;1
156;0;NaN
158;1,11022302462516E-16;1
160;2,77555756156289E-17;1
162;0;NaN
164;1,11022302462516E-16;1
166;0;NaN
168;0;NaN
170;0;NaN
172;1,11022302462516E-16;1
174;0;NaN
176;3,46944695195361E-17;1
178;0;NaN
180;1,11022302462516E-16;1
182;1,11022302462516E-16;1
184;0;NaN
186;1,11022302462516E-16;1
188;5,55111512312578E-17;1
190;0;NaN
192;5,55111512312578E-17;1
194;0;NaN
196;1,11022302462516E-16;1
198;6,93889390390723E-17;1
