angle; absoluteError; relativeError
-98;0;NaN
-96;1,11022302462516E-16;1
-94;1,11022302462516E-16;1
-92;0;NaN
-90;0;NaN
-88;0;NaN
-86;0;NaN
-84;0;NaN
-82;5,89805981832114E-17;1
-80;0;NaN
-78;0;NaN
-76;1,11022302462516E-16;1
-74;0;NaN
-72;0;NaN
-70;0;NaN
-68;0;NaN
-66;5,55111512312578E-17;1
-64;0;NaN
-62;1,11022302462516E-16;1
-60;7,97972798949331E-17;1
-58;0;NaN
-56;0;NaN
-54;0;NaN
-52;1,11022302462516E-16;1
-50;0;NaN
-48;1,11022302462516E-16;1
-46;1,11022302462516E-16;1
-44;5,55111512312578E-17;1
-42;0;NaN
-40;1,11022302462516E-16;1
-38;1,38777878078145E-17;1
-36;0;NaN
-34;1,11022302462516E-16;1
-32;1,11022302462516E-16;1
-30;0;NaN
-28;0;NaN
-26;1,11022302462516E-16;1
-24;0;NaN
-22;0;NaN
-20;0;NaN
-18;0;NaN
-16;2,86229373536173E-17;1
-14;0;NaN
-12;1,11022302462516E-16;1
-10;1,11022302462516E-16;1
-8;0;NaN
-6;1,11022302462516E-16;1
-4;1,11022302462516E-16;1
-2;0;NaN
0;0;NaN
2;0;NaN
4;1,11022302462516E-16;1
6;8,23993651088983E-17;1
8;0;NaN
10;1,11022302462516E-16;1
12;5,55111512312578E-17;1
14;0;NaN
16;0;NaN
18;0;NaN
20;0;NaN
22;0;NaN
24;0;NaN
26;0;NaN
28;1,38777878078145E-17;1
30;0;NaN
32;1,11022302462516E-16;1
34;5,55111512312578E-17;1
36;0;NaN
38;0;NaN
40;1,11022302462516E-16;1
42;0;NaN
44;5,55111512312578E-17;1
46;0;NaN
48;1,11022302462516E-16;1
50;3,12250225675825E-17;1
52;1,11022302462516E-16;1
54;0;NaN
56;5,55111512312578E-17;1
58;0;NaN
60;1,11022302462516E-16;1
62;1,11022302462516E-16;1
64;0;NaN
66;5,55111512312578E-17;1
68;0;NaN
70;0;NaN
72;5,20417042793042E-17;1
74;0;NaN
76;1,11022302462516E-16;1
78;0;NaN
80;0;NaN
82;1,11022302462516E-16;1
84;0;NaN
86;1,11022302462516E-16;1
88;0;NaN
90;0;NaN
92;0;NaN
94;9,71445146547012E-17;1
96;1,11022302462516E-16;1
98;0;NaN
