angle; absoluteError; relativeError
2;0;NaN
4;0;NaN
6;1,11022302462516E-16;1
8;0;NaN
10;1,11022302462516E-16;1
12;5,55111512312578E-17;1
14;1,11022302462516E-16;1
16;0;NaN
18;3,46944695195361E-17;1
20;0;NaN
22;1,11022302462516E-16;1
24;5,55111512312578E-17;1
26;1,11022302462516E-16;1
28;1,11022302462516E-16;1
30;1,11022302462516E-16;1
32;0;NaN
34;1,11022302462516E-16;1
36;0;NaN
38;0;NaN
40;3,46944695195361E-18;1
42;0;NaN
44;0;NaN
46;1,11022302462516E-16;1
48;1,11022302462516E-16;1
50;0;NaN
52;1,11022302462516E-16;1
54;0;NaN
56;5,55111512312578E-17;1
58;1,11022302462516E-16;1
60;0;NaN
62;5,55111512312578E-17;1
64;1,11022302462516E-16;1
66;0;NaN
68;5,55111512312578E-17;1
70;0;NaN
72;1,11022302462516E-16;1
74;0;NaN
76;0;NaN
78;1,11022302462516E-16;1
80;0;NaN
82;0;NaN
84;1,11022302462516E-16;1
86;0;NaN
88;0;NaN
90;2,77555756156289E-17;1
92;1,11022302462516E-16;1
94;1,11022302462516E-16;1
96;1,11022302462516E-16;1
98;0;NaN
100;5,55111512312578E-17;1
102;1,11022302462516E-16;1
104;0;NaN
106;9,0205620750794E-17;1
108;0;NaN
110;0;NaN
112;5,55111512312578E-17;1
114;1,11022302462516E-16;1
116;0;NaN
118;5,55111512312578E-17;1
120;1,11022302462516E-16;1
122;0;NaN
124;0;NaN
126;1,11022302462516E-16;1
128;9,0205620750794E-17;1
130;0;NaN
132;0;NaN
134;8,32667268468867E-17;1
136;0;NaN
138;1,11022302462516E-16;1
140;5,55111512312578E-17;1
142;0;NaN
144;5,55111512312578E-17;1
146;1,11022302462516E-16;1
148;1,11022302462516E-16;1
150;9,0205620750794E-17;1
152;0;NaN
154;0;NaN
156;0;NaN
158;1,11022302462516E-16;1
160;0;NaN
162;0;NaN
164;1,11022302462516E-16;1
166;5,55111512312578E-17;1
168;0;NaN
170;1,11022302462516E-16;1
172;2,77555756156289E-17;1
174;0;NaN
176;0;NaN
178;5,55111512312578E-17;1
180;0;NaN
182;1,11022302462516E-16;1
184;5,55111512312578E-17;1
186;0;NaN
188;0;NaN
190;1,11022302462516E-16;1
192;0;NaN
194;2,77555756156289E-17;1
196;1,11022302462516E-16;1
198;0;NaN
