angle; absoluteError; relativeError
-98;0;NaN
-96;0;NaN
-94;5,20417042793042E-17;1
-92;2,22044604925031E-16;1
-90;2,22044604925031E-16;1
-88;2,41777084464267E-17;1
-86;0;NaN
-84;0;NaN
-82;1,38777878078145E-17;1
-80;0;NaN
-78;2,22044604925031E-16;1
-76;0;NaN
-74;1,11022302462516E-16;1
-72;2,22044604925031E-16;1
-70;5,55111512312578E-17;1
-68;1,11022302462516E-16;1
-66;2,22044604925031E-16;1
-64;1,11022302462516E-16;1
-62;0;NaN
-60;0;NaN
-58;1,11022302462516E-16;1
-56;8,32667268468867E-17;1
-54;0;NaN
-52;0;NaN
-50;5,55111512312578E-17;1
-48;2,22044604925031E-16;1
-46;0;NaN
-44;1,0842021724855E-19;1
-42;2,22044604925031E-16;1
-40;0;NaN
-38;4,16333634234434E-17;1
-36;2,22044604925031E-16;1
-34;4,44089209850063E-16;1
-32;2,77555756156289E-17;1
-30;1,11022302462516E-16;1
-28;2,22044604925031E-16;1
-26;0;NaN
-24;1,11022302462516E-16;1
-22;0;NaN
-20;0;NaN
-18;5,55111512312578E-17;1
-16;0;NaN
-14;1,11022302462516E-16;1
-12;2,77555756156289E-17;1
-10;2,22044604925031E-16;1
-8;0;NaN
-6;5,55111512312578E-17;1
-4;2,22044604925031E-16;1
-2;0;NaN
0;0;NaN
2;0;NaN
4;2,22044604925031E-16;1
6;5,55111512312578E-17;1
8;0;NaN
10;2,22044604925031E-16;1
12;2,77555756156289E-17;1
14;1,11022302462516E-16;1
16;0;NaN
18;5,55111512312578E-17;1
20;0;NaN
22;0;NaN
24;1,11022302462516E-16;1
26;0;NaN
28;2,22044604925031E-16;1
30;1,11022302462516E-16;1
32;2,77555756156289E-17;1
34;4,44089209850063E-16;1
36;2,22044604925031E-16;1
38;4,16333634234434E-17;1
40;0;NaN
42;2,22044604925031E-16;1
44;1,0842021724855E-19;1
46;0;NaN
48;2,22044604925031E-16;1
50;5,55111512312578E-17;1
52;0;NaN
54;0;NaN
56;8,32667268468867E-17;1
58;1,11022302462516E-16;1
60;0;NaN
62;0;NaN
64;1,11022302462516E-16;1
66;2,22044604925031E-16;1
68;1,11022302462516E-16;1
70;5,55111512312578E-17;1
72;2,22044604925031E-16;1
74;1,11022302462516E-16;1
76;0;NaN
78;2,22044604925031E-16;1
80;0;NaN
82;1,38777878078145E-17;1
84;0;NaN
86;0;NaN
88;2,41777084464267E-17;1
90;2,22044604925031E-16;1
92;2,22044604925031E-16;1
94;5,20417042793042E-17;1
96;0;NaN
98;0;NaN
