x;absoluteError;relativeError
1;0;не число
3;8,88178419700125E-16;1
5;0;не число
7;1,77635683940025E-15;1
9;1,77635683940025E-15;1
11;0;не число
13;1,77635683940025E-15;1
15;3,5527136788005E-15;1
17;3,5527136788005E-15;1
19;3,5527136788005E-15;1
21;0;не число
23;0;не число
25;0;не число
27;3,5527136788005E-15;1
29;3,5527136788005E-15;1
31;3,5527136788005E-15;1
33;3,5527136788005E-15;1
35;3,5527136788005E-15;1
37;0;не число
39;0;не число
41;3,5527136788005E-15;1
43;0;не число
45;0;не число
47;0;не число
49;3,5527136788005E-15;1
51;3,5527136788005E-15;1
53;3,5527136788005E-15;1
55;3,5527136788005E-15;1
57;0;не число
59;3,5527136788005E-15;1
61;0;не число
63;0;не число
65;0;не число
67;3,5527136788005E-15;1
69;0;не число
71;0;не число
73;3,5527136788005E-15;1
75;0;не число
77;0;не число
79;0;не число
81;3,5527136788005E-15;1
83;0;не число
85;0;не число
87;3,5527136788005E-15;1
89;3,5527136788005E-15;1
91;3,5527136788005E-15;1
93;3,5527136788005E-15;1
95;0;не число
97;3,5527136788005E-15;1
99;0;не число
101;0;не число
103;3,5527136788005E-15;1
105;3,5527136788005E-15;1
107;0;не число
109;3,5527136788005E-15;1
111;3,5527136788005E-15;1
113;0;не число
115;0;не число
117;3,5527136788005E-15;1
119;3,5527136788005E-15;1
121;0;не число
123;7,105427357601E-15;1
125;3,5527136788005E-15;1
127;3,5527136788005E-15;1
129;3,5527136788005E-15;1
131;3,5527136788005E-15;1
133;0;не число
135;3,5527136788005E-15;1
137;3,5527136788005E-15;1
139;3,5527136788005E-15;1
141;3,5527136788005E-15;1
143;3,5527136788005E-15;1
145;0;не число
147;0;не число
149;0;не число
151;0;не число
153;7,105427357601E-15;1
155;3,5527136788005E-15;1
157;7,105427357601E-15;1
159;3,5527136788005E-15;1
161;3,5527136788005E-15;1
163;3,5527136788005E-15;1
165;3,5527136788005E-15;1
167;3,5527136788005E-15;1
169;3,5527136788005E-15;1
171;0;не число
173;0;не число
175;0;не число
177;0;не число
179;0;не число
181;0;не число
183;7,105427357601E-15;1
185;0;не число
187;0;не число
189;7,105427357601E-15;1
191;0;не число
193;7,105427357601E-15;1
195;0;не число
197;0;не число
199;0;не число
201;0;не число
