angle; absoluteError; relativeError
2;2;1,11022302462516E-16;1
2;4;0;NaN
2;6;1,11022302462516E-16;1
2;8;1,11022302462516E-16;1
2;10;0;NaN
2;12;0;NaN
2;14;0;NaN
2;16;1,11022302462516E-16;1
2;18;0;NaN
2;20;7,63278329429795E-17;1
2;22;1,11022302462516E-16;1
2;24;1,11022302462516E-16;1
2;26;0;NaN
2;28;0;NaN
2;30;0;NaN
2;32;0;NaN
2;34;0;NaN
2;36;5,55111512312578E-17;1
2;38;0;NaN
2;40;1,11022302462516E-16;1
2;42;5,20417042793042E-17;1
2;44;0;NaN
2;46;0;NaN
2;48;5,55111512312578E-17;1
2;50;0;NaN
2;52;0;NaN
2;54;0;NaN
2;56;0;NaN
2;58;5,55111512312578E-17;1
2;60;1,11022302462516E-16;1
2;62;0;NaN
2;64;5,55111512312578E-17;1
2;66;0;NaN
2;68;1,11022302462516E-16;1
2;70;5,55111512312578E-17;1
2;72;0;NaN
2;74;0;NaN
2;76;0;NaN
2;78;1,11022302462516E-16;1
2;80;0;NaN
2;82;0;NaN
2;84;1,11022302462516E-16;1
2;86;5,55111512312578E-17;1
2;88;1,11022302462516E-16;1
2;90;0;NaN
2;92;8,32667268468867E-17;1
2;94;0;NaN
2;96;0;NaN
2;98;0;NaN
2;100;0;NaN
2;102;5,55111512312578E-17;1
2;104;1,11022302462516E-16;1
2;106;0;NaN
2;108;2,08166817117217E-17;1
2;110;1,11022302462516E-16;1
2;112;0;NaN
2;114;0;NaN
2;116;0;NaN
2;118;1,11022302462516E-16;1
2;120;5,55111512312578E-17;1
2;122;1,11022302462516E-16;1
2;124;5,55111512312578E-17;1
2;126;0;NaN
2;128;1,11022302462516E-16;1
2;130;7,63278329429795E-17;1
2;132;0;NaN
2;134;0;NaN
2;136;2,77555756156289E-17;1
2;138;0;NaN
2;140;0;NaN
2;142;5,55111512312578E-17;1
2;144;0;NaN
2;146;5,55111512312578E-17;1
2;148;0;NaN
2;150;0;NaN
2;152;2,08166817117217E-17;1
2;154;0;NaN
2;156;0;NaN
2;158;5,55111512312578E-17;1
2;160;0;NaN
2;162;1,11022302462516E-16;1
2;164;0;NaN
2;166;1,11022302462516E-16;1
2;168;0;NaN
2;170;1,11022302462516E-16;1
2;172;2,22044604925031E-16;1
2;174;2,77555756156289E-17;1
2;176;0;NaN
2;178;1,11022302462516E-16;1
2;180;5,55111512312578E-17;1
2;182;0;NaN
2;184;0;NaN
