angle; absoluteError; relativeError
-98;-98;5,55111512312578E-17;1
-98;-96;0;NaN
-98;-94;0;NaN
-98;-92;2,77555756156289E-17;1
-98;-90;1,11022302462516E-16;1
-98;-88;1,11022302462516E-16;1
-98;-86;2,77555756156289E-17;1
-98;-84;0;NaN
-98;-82;0;NaN
-98;-80;5,55111512312578E-17;1
-98;-78;0;NaN
-98;-76;5,55111512312578E-17;1
-98;-74;0;NaN
-98;-72;1,11022302462516E-16;1
-98;-70;6,93889390390723E-17;1
-98;-68;0;NaN
-98;-66;0;NaN
-98;-64;0;NaN
-98;-62;1,11022302462516E-16;1
-98;-60;1,11022302462516E-16;1
-98;-58;0;NaN
-98;-56;1,11022302462516E-16;1
-98;-54;5,55111512312578E-17;1
-98;-52;2,22044604925031E-16;1
-98;-50;0;NaN
-98;-48;0;NaN
-98;-46;1,11022302462516E-16;1
-98;-44;0;NaN
-98;-42;2,77555756156289E-17;1
-98;-40;1,11022302462516E-16;1
-98;-38;0;NaN
-98;-36;2,22044604925031E-16;1
-98;-34;0;NaN
-98;-32;5,55111512312578E-17;1
-98;-30;0;NaN
-98;-28;1,11022302462516E-16;1
-98;-26;1,38777878078145E-17;1
-98;-24;1,11022302462516E-16;1
-98;-22;0;NaN
-98;-20;2,77555756156289E-17;1
-98;-18;1,11022302462516E-16;1
-98;-16;0;NaN
-98;-14;1,11022302462516E-16;1
-98;-12;1,11022302462516E-16;1
-98;-10;5,55111512312578E-17;1
-98;-8;1,11022302462516E-16;1
-98;-6;0;NaN
-98;-4;0;NaN
-98;-2;1,11022302462516E-16;1
-98;0;0;NaN
-98;2;1,38777878078145E-16;1
-98;4;0;NaN
-98;6;0;NaN
-98;8;5,55111512312578E-17;1
-98;10;1,11022302462516E-16;1
-98;12;5,55111512312578E-17;1
-98;14;1,11022302462516E-16;1
-98;16;0;NaN
-98;18;6,93889390390723E-17;1
-98;20;0;NaN
-98;22;0;NaN
-98;24;1,38777878078145E-16;1
-98;26;0;NaN
-98;28;1,11022302462516E-16;1
-98;30;5,55111512312578E-17;1
-98;32;0;NaN
-98;34;0;NaN
-98;36;2,22044604925031E-16;1
-98;38;0;NaN
-98;40;5,55111512312578E-17;1
-98;42;0;NaN
-98;44;0;NaN
-98;46;1,38777878078145E-16;1
-98;48;0;NaN
-98;50;0;NaN
-98;52;1,66533453693773E-16;1
-98;54;0;NaN
-98;56;5,55111512312578E-17;1
-98;58;0;NaN
-98;60;1,11022302462516E-16;1
-98;62;1,11022302462516E-16;1
-98;64;0;NaN
-98;66;0;NaN
-98;68;5,55111512312578E-17;1
-98;70;1,11022302462516E-16;1
-98;72;1,11022302462516E-16;1
-98;74;0;NaN
-98;76;0;NaN
-98;78;5,55111512312578E-17;1
-98;80;0;NaN
-98;82;0;NaN
-98;84;2,77555756156289E-17;1
-98;86;0;NaN
-98;88;1,11022302462516E-16;1
-98;90;1,11022302462516E-16;1
-98;92;0;NaN
-98;94;0;NaN
-98;96;5,55111512312578E-17;1
-98;98;0;NaN
-96;-98;0;NaN
-96;-96;2,22044604925031E-16;1
-96;-94;2,77555756156289E-17;1
-96;-92;1,11022302462516E-16;1
-96;-90;1,11022302462516E-16;1
-96;-88;2,77555756156289E-17;1
-96;-86;1,11022302462516E-16;1
-96;-84;1,11022302462516E-16;1
-96;-82;5,55111512312578E-17;1
-96;-80;2,22044604925031E-16;1
-96;-78;5,55111512312578E-17;1
-96;-76;1,11022302462516E-16;1
-96;-74;1,11022302462516E-16;1
-96;-72;1,38777878078145E-17;1
-96;-70;1,11022302462516E-16;1
-96;-68;1,11022302462516E-16;1
-96;-66;0;NaN
-96;-64;1,11022302462516E-16;1
-96;-62;0;NaN
-96;-60;0;NaN
-96;-58;1,11022302462516E-16;1
-96;-56;5,55111512312578E-17;1
-96;-54;2,22044604925031E-16;1
-96;-52;2,22044604925031E-16;1
-96;-50;5,55111512312578E-17;1
