angle; absoluteError; relativeError
-98;1,11022302462516E-16;1
-96;5,55111512312578E-17;1
-94;0;NaN
-92;0;NaN
-90;0;NaN
-88;0;NaN
-86;0;NaN
-84;0;NaN
-82;1,11022302462516E-16;1
-80;2,77555756156289E-17;1
-78;0;NaN
-76;1,11022302462516E-16;1
-74;0;NaN
-72;5,55111512312578E-17;1
-70;0;NaN
-68;0;NaN
-66;0;NaN
-64;1,11022302462516E-16;1
-62;1,11022302462516E-16;1
-60;0;NaN
-58;2,77555756156289E-17;1
-56;0;NaN
-54;1,11022302462516E-16;1
-52;0;NaN
-50;0;NaN
-48;1,11022302462516E-16;1
-46;0;NaN
-44;0;NaN
-42;1,11022302462516E-16;1
-40;1,11022302462516E-16;1
-38;0;NaN
-36;0;NaN
-34;0;NaN
-32;1,11022302462516E-16;1
-30;0;NaN
-28;1,11022302462516E-16;1
-26;1,11022302462516E-16;1
-24;0;NaN
-22;0;NaN
-20;1,11022302462516E-16;1
-18;1,11022302462516E-16;1
-16;0;NaN
-14;0;NaN
-12;1,11022302462516E-16;1
-10;1,11022302462516E-16;1
-8;0;NaN
-6;0;NaN
-4;0;NaN
-2;1,11022302462516E-16;1
0;0;NaN
2;1,11022302462516E-16;1
4;0;NaN
6;0;NaN
8;0;NaN
10;1,11022302462516E-16;1
12;1,11022302462516E-16;1
14;0;NaN
16;0;NaN
18;1,11022302462516E-16;1
20;1,11022302462516E-16;1
22;0;NaN
24;0;NaN
26;1,11022302462516E-16;1
28;1,11022302462516E-16;1
30;0;NaN
32;1,11022302462516E-16;1
34;0;NaN
36;0;NaN
38;0;NaN
40;1,11022302462516E-16;1
42;1,11022302462516E-16;1
44;0;NaN
46;0;NaN
48;1,11022302462516E-16;1
50;0;NaN
52;0;NaN
54;1,11022302462516E-16;1
56;0;NaN
58;2,77555756156289E-17;1
60;0;NaN
62;1,11022302462516E-16;1
64;1,11022302462516E-16;1
66;0;NaN
68;0;NaN
70;0;NaN
72;5,55111512312578E-17;1
74;0;NaN
76;1,11022302462516E-16;1
78;0;NaN
80;2,77555756156289E-17;1
82;1,11022302462516E-16;1
84;0;NaN
86;0;NaN
88;0;NaN
90;0;NaN
92;0;NaN
94;0;NaN
96;5,55111512312578E-17;1
98;1,11022302462516E-16;1
