angle; absoluteError; relativeError
-98;-98;0;NaN
-98;-96;0;NaN
-98;-94;5,55111512312578E-17;1
-98;-92;2,77555756156289E-17;1
-98;-90;2,22044604925031E-16;1
-98;-88;0;NaN
-98;-86;0;NaN
-98;-84;2,22044604925031E-16;1
-98;-82;1,11022302462516E-16;1
-98;-80;5,55111512312578E-17;1
-98;-78;0;NaN
-98;-76;0;NaN
-98;-74;0;NaN
-98;-72;1,11022302462516E-16;1
-98;-70;0;NaN
-98;-68;0;NaN
-98;-66;0;NaN
-98;-64;0;NaN
-98;-62;5,55111512312578E-17;1
-98;-60;0;NaN
-98;-58;0;NaN
-98;-56;3,46944695195361E-17;1
-98;-54;2,94902990916057E-17;1
-98;-52;2,22044604925031E-16;1
-98;-50;0;NaN
-98;-48;2,77555756156289E-17;1
-98;-46;0;NaN
-98;-44;0;NaN
-98;-42;5,55111512312578E-17;1
-98;-40;0;NaN
-98;-38;1,11022302462516E-16;1
-98;-36;0;NaN
-98;-34;2,22044604925031E-16;1
-98;-32;0;NaN
-98;-30;0;NaN
-98;-28;0;NaN
-98;-26;0;NaN
-98;-24;0;NaN
-98;-22;0;NaN
-98;-20;0;NaN
-98;-18;5,55111512312578E-17;1
-98;-16;0;NaN
-98;-14;2,22044604925031E-16;1
-98;-12;4,16333634234434E-17;1
-98;-10;5,20417042793042E-17;1
-98;-8;0;NaN
-98;-6;0;NaN
-98;-4;5,55111512312578E-17;1
-98;-2;0;NaN
-98;0;0;NaN
-98;2;5,55111512312578E-17;1
-98;4;0;NaN
-98;6;0;NaN
-98;8;0;NaN
-98;10;0;NaN
-98;12;0;NaN
-98;14;5,55111512312578E-17;1
-98;16;1,11022302462516E-16;1
-98;18;2,22044604925031E-16;1
-98;20;0;NaN
-98;22;1,11022302462516E-16;1
-98;24;0;NaN
-98;26;2,77555756156289E-17;1
-98;28;0;NaN
-98;30;0;NaN
-98;32;2,08166817117217E-17;1
-98;34;1,38777878078145E-17;1
-98;36;0;NaN
-98;38;0;NaN
-98;40;5,55111512312578E-17;1
-98;42;0;NaN
-98;44;0;NaN
-98;46;0;NaN
-98;48;0;NaN
-98;50;0;NaN
-98;52;5,55111512312578E-17;1
-98;54;0;NaN
-98;56;0;NaN
-98;58;0;NaN
-98;60;0;NaN
-98;62;0;NaN
-98;64;5,55111512312578E-17;1
-98;66;0;NaN
-98;68;0;NaN
-98;70;5,55111512312578E-17;1
-98;72;0;NaN
-98;74;0;NaN
-98;76;4,33680868994202E-18;1
-98;78;6,93889390390723E-18;1
-98;80;0;NaN
-98;82;0;NaN
-98;84;2,77555756156289E-17;1
-98;86;0;NaN
-98;88;1,11022302462516E-16;1
-98;90;5,55111512312578E-17;1
-98;92;0;NaN
