angle; absoluteError; relativeError
2;2;0;NaN
2;4;1,11022302462516E-16;1
2;6;0;NaN
2;8;1,11022302462516E-16;1
2;10;5,55111512312578E-17;1
2;12;1,11022302462516E-16;1
2;14;1,11022302462516E-16;1
2;16;0;NaN
2;18;1,11022302462516E-16;1
2;20;0;NaN
2;22;1,21430643318376E-17;1
2;24;0;NaN
2;26;0;NaN
2;28;0;NaN
2;30;1,11022302462516E-16;1
2;32;0;NaN
2;34;0;NaN
2;36;1,11022302462516E-16;1
2;38;0;NaN
2;40;1,11022302462516E-16;1
2;42;0;NaN
2;44;4,85722573273506E-17;1
2;46;1,11022302462516E-16;1
2;48;1,11022302462516E-16;1
2;50;5,55111512312578E-17;1
2;52;1,11022302462516E-16;1
2;54;0;NaN
2;56;5,55111512312578E-17;1
2;58;0;NaN
2;60;1,11022302462516E-16;1
2;62;1,11022302462516E-16;1
2;64;0;NaN
2;66;3,12250225675825E-17;1
2;68;0;NaN
2;70;1,11022302462516E-16;1
2;72;2,77555756156289E-17;1
2;74;1,11022302462516E-16;1
2;76;0;NaN
2;78;0;NaN
2;80;1,11022302462516E-16;1
2;82;5,55111512312578E-17;1
2;84;1,11022302462516E-16;1
2;86;1,11022302462516E-16;1
2;88;7,63278329429795E-17;1
2;90;0;NaN
2;92;1,11022302462516E-16;1
2;94;2,77555756156289E-17;1
2;96;0;NaN
2;98;1,11022302462516E-16;1
2;100;0;NaN
2;102;0;NaN
2;104;0;NaN
2;106;0;NaN
2;108;0;NaN
2;110;1,38777878078145E-17;1
2;112;0;NaN
2;114;0;NaN
2;116;0;NaN
2;118;0;NaN
2;120;0;NaN
2;122;0;NaN
2;124;0;NaN
2;126;5,55111512312578E-17;1
2;128;1,11022302462516E-16;1
2;130;0;NaN
2;132;1,38777878078145E-17;1
2;134;0;NaN
2;136;1,11022302462516E-16;1
2;138;0;NaN
2;140;0;NaN
2;142;1,11022302462516E-16;1
2;144;0;NaN
2;146;0;NaN
2;148;0;NaN
2;150;0;NaN
2;152;0;NaN
2;154;4,16333634234434E-17;1
2;156;0;NaN
2;158;1,11022302462516E-16;1
2;160;2,77555756156289E-17;1
2;162;1,11022302462516E-16;1
2;164;1,11022302462516E-16;1
2;166;0;NaN
2;168;1,11022302462516E-16;1
2;170;0;NaN
2;172;0;NaN
2;174;0;NaN
2;176;1,38777878078145E-17;1
2;178;0;NaN
2;180;1,11022302462516E-16;1
2;182;2,77555756156289E-17;1
2;184;0;NaN
2;186;0;NaN
2;188;0;NaN
2;190;0;NaN
2;192;5,55111512312578E-17;1
2;194;1,11022302462516E-16;1
2;196;0;NaN
2;198;2,77555756156289E-17;1
4;2;1,11022302462516E-16;1
4;4;1,11022302462516E-16;1
4;6;2,77555756156289E-17;1
4;8;1,11022302462516E-16;1
4;10;5,55111512312578E-17;1
4;12;0;NaN
4;14;1,11022302462516E-16;1
4;16;1,11022302462516E-16;1
4;18;0;NaN
4;20;0;NaN
4;22;6,41847686111419E-17;1
4;24;0;NaN
4;26;1,11022302462516E-16;1
4;28;2,77555756156289E-17;1
4;30;0;NaN
4;32;5,55111512312578E-17;1
4;34;5,55111512312578E-17;1
4;36;0;NaN
4;38;8,32667268468867E-17;1
4;40;1,11022302462516E-16;1
4;42;0;NaN
4;44;9,8879238130678E-17;1
4;46;0;NaN
4;48;0;NaN
4;50;2,77555756156289E-17;1
4;52;1,11022302462516E-16;1
4;54;5,55111512312578E-17;1
4;56;5,55111512312578E-17;1
4;58;0;NaN
4;60;1,11022302462516E-16;1
4;62;1,11022302462516E-16;1
4;64;1,11022302462516E-16;1
4;66;2,42861286636753E-17;1
4;68;0;NaN
4;70;0;NaN
4;72;2,77555756156289E-17;1
4;74;0;NaN
4;76;0;NaN
4;78;0;NaN
4;80;0;NaN
4;82;5,55111512312578E-17;1
4;84;1,11022302462516E-16;1
4;86;1,11022302462516E-16;1
4;88;1,14491749414469E-16;1
4;90;0;NaN
4;92;0;NaN
4;94;0;NaN
4;96;1,11022302462516E-16;1
