angle; absoluteError; relativeError
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-98;-98;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
-96;-96;0;NaN
