angle1; angle2; absoluteError; relativeError
0,015707963267949;0,015707963267949;3,5527136788005E-15;1
0,015707963267949;0,0314159265358979;0;NaN
0,015707963267949;0,0471238898038469;1,77635683940025E-15;1
0,015707963267949;0,0628318530717959;3,5527136788005E-15;1
0,015707963267949;0,0785398163397448;0;NaN
0,015707963267949;0,0942477796076938;0;NaN
0,015707963267949;0,109955742875643;1,77635683940025E-15;1
0,015707963267949;0,125663706143592;0;NaN
0,015707963267949;0,141371669411541;1,77635683940025E-15;1
0,015707963267949;0,15707963267949;0;NaN
0,015707963267949;0,172787595947439;0;NaN
0,015707963267949;0,188495559215388;8,88178419700125E-16;1
0,015707963267949;0,204203522483337;0;NaN
0,015707963267949;0,219911485751286;8,88178419700125E-16;1
0,015707963267949;0,235619449019235;4,44089209850063E-16;1
0,015707963267949;0,251327412287183;0;NaN
0,015707963267949;0,267035375555132;4,44089209850063E-16;1
0,015707963267949;0,282743338823081;0;NaN
0,015707963267949;0,29845130209103;0;NaN
0,015707963267949;0,314159265358979;0;NaN
0,015707963267949;0,329867228626928;4,44089209850063E-16;1
0,015707963267949;0,345575191894877;0;NaN
0,015707963267949;0,361283155162826;8,88178419700125E-16;1
0,015707963267949;0,376991118430775;0;NaN
0,015707963267949;0,392699081698724;0;NaN
0,015707963267949;0,408407044966673;4,44089209850063E-16;1
0,015707963267949;0,424115008234622;0;NaN
0,015707963267949;0,439822971502571;0;NaN
0,015707963267949;0,45553093477052;4,44089209850063E-16;1
0,015707963267949;0,471238898038469;4,44089209850063E-16;1
0,015707963267949;0,486946861306418;4,44089209850063E-16;1
0,015707963267949;0,502654824574367;0;NaN
0,015707963267949;0,518362787842316;0;NaN
0,015707963267949;0,534070751110265;2,22044604925031E-16;1
0,015707963267949;0,549778714378214;0;NaN
0,015707963267949;0,565486677646163;0;NaN
0,015707963267949;0,581194640914112;0;NaN
0,015707963267949;0,596902604182061;0;NaN
0,015707963267949;0,61261056745001;0;NaN
0,015707963267949;0,628318530717959;0;NaN
0,015707963267949;0,644026493985908;0;NaN
0,015707963267949;0,659734457253857;2,22044604925031E-16;1
0,015707963267949;0,675442420521806;2,22044604925031E-16;1
0,015707963267949;0,691150383789755;2,22044604925031E-16;1
0,015707963267949;0,706858347057704;2,22044604925031E-16;1
0,015707963267949;0,722566310325652;2,22044604925031E-16;1
0,015707963267949;0,738274273593601;0;NaN
0,015707963267949;0,75398223686155;2,22044604925031E-16;1
0,015707963267949;0,769690200129499;0;NaN
0,015707963267949;0,785398163397448;0;NaN
0,015707963267949;0,801106126665397;1,11022302462516E-16;1
0,015707963267949;0,816814089933346;1,11022302462516E-16;1
0,015707963267949;0,832522053201295;1,11022302462516E-16;1
0,015707963267949;0,848230016469244;0;NaN
0,015707963267949;0,863937979737193;1,11022302462516E-16;1
0,015707963267949;0,879645943005142;1,11022302462516E-16;1
0,015707963267949;0,895353906273091;1,11022302462516E-16;1
0,015707963267949;0,91106186954104;1,11022302462516E-16;1
0,015707963267949;0,926769832808989;1,11022302462516E-16;1
0,015707963267949;0,942477796076938;0;NaN
0,015707963267949;0,958185759344887;0;NaN
0,015707963267949;0,973893722612836;1,11022302462516E-16;1
0,015707963267949;0,989601685880785;0;NaN
0,015707963267949;1,00530964914873;1,11022302462516E-16;1
0,015707963267949;1,02101761241668;1,11022302462516E-16;1
0,015707963267949;1,03672557568463;1,11022302462516E-16;1
0,015707963267949;1,05243353895258;2,22044604925031E-16;1
0,015707963267949;1,06814150222053;2,22044604925031E-16;1
0,015707963267949;1,08384946548848;2,22044604925031E-16;1
0,015707963267949;1,09955742875643;1,66533453693773E-16;1
0,015707963267949;1,11526539202438;5,55111512312578E-17;1
0,015707963267949;1,13097335529233;5,55111512312578E-17;1
0,015707963267949;1,14668131856027;1,11022302462516E-16;1
0,015707963267949;1,16238928182822;1,11022302462516E-16;1
0,015707963267949;1,17809724509617;1,66533453693773E-16;1
0,015707963267949;1,19380520836412;1,66533453693773E-16;1
0,015707963267949;1,20951317163207;0;NaN
0,015707963267949;1,22522113490002;1,66533453693773E-16;1
0,015707963267949;1,24092909816797;1,11022302462516E-16;1
0,015707963267949;1,25663706143592;5,55111512312578E-17;1
0,015707963267949;1,27234502470387;1,11022302462516E-16;1
0,015707963267949;1,28805298797182;1,11022302462516E-16;1
