angle; absoluteError; relativeError
-98;-98;1,11022302462516E-16;1
-98;-96;0;NaN
-98;-94;5,55111512312578E-17;1
-98;-92;1,11022302462516E-16;1
-98;-90;0;NaN
-98;-88;1,11022302462516E-16;1
-98;-86;0;NaN
-98;-84;0;NaN
-98;-82;1,11022302462516E-16;1
-98;-80;0;NaN
-98;-78;2,77555756156289E-17;1
-98;-76;0;NaN
-98;-74;1,11022302462516E-16;1
-98;-72;1,11022302462516E-16;1
-98;-70;0;NaN
-98;-68;0;NaN
-98;-66;0;NaN
-98;-64;0;NaN
-98;-62;1,11022302462516E-16;1
-98;-60;2,22044604925031E-16;1
-98;-58;0;NaN
-98;-56;7,63278329429795E-17;1
-98;-54;0;NaN
-98;-52;0;NaN
-98;-50;1,66533453693773E-16;1
-98;-48;0;NaN
-98;-46;5,55111512312578E-17;1
-98;-44;0;NaN
-98;-42;0;NaN
-98;-40;2,77555756156289E-17;1
-98;-38;1,11022302462516E-16;1
-98;-36;0;NaN
-98;-34;7,63278329429795E-17;1
-98;-32;0;NaN
-98;-30;0;NaN
-98;-28;1,11022302462516E-16;1
-98;-26;1,11022302462516E-16;1
-98;-24;0;NaN
-98;-22;0;NaN
-98;-20;0;NaN
-98;-18;0;NaN
-98;-16;1,11022302462516E-16;1
-98;-14;0;NaN
-98;-12;1,31838984174237E-16;1
-98;-10;1,11022302462516E-16;1
-98;-8;0;NaN
-98;-6;5,55111512312578E-17;1
-98;-4;1,11022302462516E-16;1
-98;-2;0;NaN
-98;0;0;NaN
-98;2;0;NaN
-98;4;8,32667268468867E-17;1
-98;6;0;NaN
-98;8;0;NaN
-98;10;5,55111512312578E-17;1
-98;12;1,11022302462516E-16;1
-98;14;0;NaN
-98;16;1,11022302462516E-16;1
-98;18;0;NaN
-98;20;1,11022302462516E-16;1
-98;22;0;NaN
-98;24;0;NaN
-98;26;5,55111512312578E-17;1
-98;28;1,11022302462516E-16;1
-98;30;0;NaN
-98;32;0;NaN
-98;34;1,11022302462516E-16;1
-98;36;0;NaN
-98;38;1,11022302462516E-16;1
-98;40;0;NaN
-98;42;0;NaN
-98;44;0;NaN
-98;46;1,11022302462516E-16;1
-98;48;0;NaN
-98;50;1,11022302462516E-16;1
-98;52;0;NaN
-98;54;3,46944695195361E-18;1
-98;56;1,11022302462516E-16;1
-98;58;0;NaN
-98;60;1,66533453693773E-16;1
-98;62;1,11022302462516E-16;1
-98;64;0;NaN
-98;66;0;NaN
-98;68;0;NaN
