angle; absoluteError; relativeError
-98;1,11022302462516E-16;1
-96;8,88178419700125E-16;1
-94;2,77555756156289E-17;1
-92;0;NaN
-90;0;NaN
-88;6,53231808922516E-18;1
-86;0;NaN
-84;2,22044604925031E-16;1
-82;1,38777878078145E-17;1
-80;0;NaN
-78;1,11022302462516E-16;1
-76;0;NaN
-74;0;NaN
-72;4,16333634234434E-17;1
-70;2,22044604925031E-16;1
-68;0;NaN
-66;2,05998412772246E-18;1
-64;4,44089209850063E-16;1
-62;0;NaN
-60;0;NaN
-58;4,44089209850063E-16;1
-56;0;NaN
-54;0;NaN
-52;4,44089209850063E-16;1
-50;5,55111512312578E-17;1
-48;0;NaN
-46;4,44089209850063E-16;1
-44;2,74438674910393E-18;1
-42;4,44089209850063E-16;1
-40;0;NaN
-38;9,71445146547012E-17;1
-36;4,44089209850063E-16;1
-34;1,11022302462516E-16;1
-32;1,11022302462516E-16;1
-30;0;NaN
-28;0;NaN
-26;0;NaN
-24;4,44089209850063E-16;1
-22;1,06937909590855E-18;1
-20;4,44089209850063E-16;1
-18;2,22044604925031E-16;1
-16;0;NaN
-14;4,44089209850063E-16;1
-12;1,11022302462516E-16;1
-10;1,11022302462516E-16;1
-8;0;NaN
-6;1,38777878078145E-17;1
-4;0;NaN
-2;4,44089209850063E-16;1
0;0;NaN
2;4,44089209850063E-16;1
4;0;NaN
6;1,38777878078145E-17;1
8;0;NaN
10;1,11022302462516E-16;1
12;1,11022302462516E-16;1
14;4,44089209850063E-16;1
16;0;NaN
18;2,22044604925031E-16;1
20;4,44089209850063E-16;1
22;1,06937909590855E-18;1
24;4,44089209850063E-16;1
26;0;NaN
28;0;NaN
30;0;NaN
32;1,11022302462516E-16;1
34;1,11022302462516E-16;1
36;4,44089209850063E-16;1
38;9,71445146547012E-17;1
40;0;NaN
42;4,44089209850063E-16;1
44;2,74438674910393E-18;1
46;4,44089209850063E-16;1
48;0;NaN
50;5,55111512312578E-17;1
52;4,44089209850063E-16;1
54;0;NaN
56;0;NaN
58;4,44089209850063E-16;1
60;0;NaN
62;0;NaN
64;4,44089209850063E-16;1
66;2,05998412772246E-18;1
68;0;NaN
70;2,22044604925031E-16;1
72;4,16333634234434E-17;1
74;0;NaN
76;0;NaN
78;1,11022302462516E-16;1
80;0;NaN
82;1,38777878078145E-17;1
84;2,22044604925031E-16;1
86;0;NaN
88;6,53231808922516E-18;1
90;0;NaN
92;0;NaN
94;2,77555756156289E-17;1
96;8,88178419700125E-16;1
98;1,11022302462516E-16;1
