angle; absoluteError; relativeError
-94;-66;2,22044604925031E-16;1
-94;-64;0;NaN
-94;-62;0;NaN
-94;-60;2,22044604925031E-16;1
-94;-58;1,11022302462516E-16;1
-94;-56;1,11022302462516E-16;1
-94;-54;2,22044604925031E-16;1
-94;-52;2,22044604925031E-16;1
-94;-50;1,00613961606655E-16;1
-94;-48;2,22044604925031E-16;1
-94;-46;2,22044604925031E-16;1
-94;-44;4,85722573273506E-17;1
-94;-42;0;NaN
-94;-40;2,22044604925031E-16;1
-94;-38;8,32667268468867E-17;1
-94;-36;2,22044604925031E-16;1
-94;-34;0;NaN
-94;-32;2,77555756156289E-17;1
-94;-30;0;NaN
-94;-28;0;NaN
-94;-26;5,55111512312578E-17;1
-94;-24;1,11022302462516E-16;1
-94;-22;2,22044604925031E-16;1
-94;-20;1,11022302462516E-16;1
-94;-18;5,55111512312578E-17;1
-94;-16;2,22044604925031E-16;1
-94;-14;1,11022302462516E-16;1
-94;-12;8,32667268468867E-17;1
-94;-10;2,22044604925031E-16;1
-94;-8;0;NaN
-94;-6;5,20417042793042E-18;1
-94;-4;0;NaN
-94;-2;2,22044604925031E-16;1
-94;0;5,20417042793042E-17;1
-94;2;2,22044604925031E-16;1
-94;4;0;NaN
-94;6;5,20417042793042E-18;1
-94;8;0;NaN
-94;10;2,22044604925031E-16;1
-94;12;8,32667268468867E-17;1
-94;14;1,11022302462516E-16;1
-94;16;2,22044604925031E-16;1
-94;18;5,55111512312578E-17;1
-94;20;1,11022302462516E-16;1
-94;22;2,22044604925031E-16;1
-94;24;1,11022302462516E-16;1
-94;26;5,55111512312578E-17;1
-94;28;0;NaN
-94;30;0;NaN
-94;32;2,77555756156289E-17;1
-94;34;0;NaN
-94;36;2,22044604925031E-16;1
-94;38;8,32667268468867E-17;1
-94;40;2,22044604925031E-16;1
-94;42;0;NaN
-94;44;4,85722573273506E-17;1
-94;46;2,22044604925031E-16;1
-94;48;2,22044604925031E-16;1
-94;50;1,00613961606655E-16;1
-94;52;2,22044604925031E-16;1
-94;54;2,22044604925031E-16;1
-94;56;1,11022302462516E-16;1
-94;58;1,11022302462516E-16;1
-94;60;2,22044604925031E-16;1
-94;62;0;NaN
-94;64;0;NaN
-94;66;2,22044604925031E-16;1
-94;68;1,11022302462516E-16;1
-94;70;5,55111512312578E-17;1
-94;72;0;NaN
-94;74;1,11022302462516E-16;1
-94;76;5,55111512312578E-17;1
-94;78;0;NaN
-94;80;0;NaN
-94;82;3,46944695195361E-17;1
-94;84;2,22044604925031E-16;1
-94;86;0;NaN
-94;88;7,63278329429795E-17;1
-94;90;2,22044604925031E-16;1
-94;92;0;NaN
-94;94;0;NaN
-94;96;0;NaN
-94;98;2,22044604925031E-16;1
-92;-98;5,55111512312578E-17;1
-92;-96;1,11022302462516E-16;1
-92;-94;0;NaN
-92;-92;0;NaN
-92;-90;0;NaN
-92;-88;2,22044604925031E-16;1
-92;-86;5,55111512312578E-17;1
-92;-84;6,93889390390723E-18;1
-92;-82;0;NaN
-92;-80;0;NaN
-92;-78;0;NaN
-92;-76;2,22044604925031E-16;1
-92;-74;0;NaN
-92;-72;0;NaN
-92;-70;0;NaN
-92;-68;0;NaN
-92;-66;0;NaN
-92;-64;0;NaN
-92;-62;0;NaN
-92;-60;5,55111512312578E-17;1
-92;-58;0;NaN
-92;-56;2,22044604925031E-16;1
-92;-54;5,55111512312578E-17;1
-92;-52;5,55111512312578E-17;1
-92;-50;0;NaN
-92;-48;1,90819582357449E-17;1
-92;-46;2,77555756156289E-17;1
-92;-44;2,22044604925031E-16;1
-92;-42;0;NaN
-92;-40;6,93889390390723E-17;1
-92;-38;0;NaN
-92;-36;5,55111512312578E-17;1
-92;-34;5,55111512312578E-17;1
-92;-32;2,22044604925031E-16;1
-92;-30;1,11022302462516E-16;1
-92;-28;0;NaN
-92;-26;0;NaN
-92;-24;0;NaN
-92;-22;0;NaN
-92;-20;0;NaN
-92;-18;0;NaN
-92;-16;0;NaN
-92;-14;0;NaN
-92;-12;2,22044604925031E-16;1
-92;-10;2,77555756156289E-17;1
-92;-8;0;NaN
-92;-6;0;NaN
-92;-4;5,20417042793042E-17;1
-92;-2;5,55111512312578E-17;1
-92;0;2,22044604925031E-16;1
-92;2;5,55111512312578E-17;1
-92;4;5,20417042793042E-17;1
-92;6;0;NaN
-92;8;0;NaN
-92;10;2,77555756156289E-17;1
-92;12;2,22044604925031E-16;1
-92;14;0;NaN
-92;16;0;NaN
-92;18;0;NaN
-92;20;0;NaN
-92;22;0;NaN
-92;24;0;NaN
-92;26;0;NaN
-92;28;0;NaN
-92;30;1,11022302462516E-16;1
-92;32;2,22044604925031E-16;1
-92;34;5,55111512312578E-17;1
-92;36;5,55111512312578E-17;1
-92;38;0;NaN
-92;40;6,93889390390723E-17;1
-92;42;0;NaN
-92;44;2,22044604925031E-16;1
-92;46;2,77555756156289E-17;1
-92;48;1,90819582357449E-17;1
-92;50;0;NaN
-92;52;5,55111512312578E-17;1
-92;54;5,55111512312578E-17;1
-92;56;2,22044604925031E-16;1
-92;58;0;NaN
-92;60;5,55111512312578E-17;1
-92;62;0;NaN
-92;64;0;NaN
-92;66;0;NaN
-92;68;0;NaN
-92;70;0;NaN
-92;72;0;NaN
-92;74;0;NaN
-92;76;2,22044604925031E-16;1
-92;78;0;NaN
-92;80;0;NaN
-92;82;0;NaN
-92;84;6,93889390390723E-18;1
-92;86;5,55111512312578E-17;1
-92;88;2,22044604925031E-16;1
-92;90;0;NaN
-92;92;0;NaN
-92;94;0;NaN
-92;96;1,11022302462516E-16;1
-92;98;5,55111512312578E-17;1
-90;-98;5,55111512312578E-17;1
-90;-96;0;NaN
-90;-94;2,22044604925031E-16;1
-90;-92;0;NaN
-90;-90;0;NaN
-90;-88;0;NaN
-90;-86;4,16333634234434E-17;1
-90;-84;2,77555756156289E-17;1
-90;-82;0;NaN
-90;-80;5,55111512312578E-17;1
-90;-78;0;NaN
-90;-76;0;NaN
-90;-74;1,11022302462516E-16;1
-90;-72;0;NaN
-90;-70;0;NaN
-90;-68;0;NaN
-90;-66;1,11022302462516E-16;1
-90;-64;1,11022302462516E-16;1
-90;-62;2,22044604925031E-16;1
-90;-60;0;NaN
-90;-58;0;NaN
-90;-56;2,22044604925031E-16;1
-90;-54;1,11022302462516E-16;1
-90;-52;0;NaN
-90;-50;0;NaN
-90;-48;2,77555756156289E-17;1
-90;-46;1,73472347597681E-17;1
-90;-44;2,22044604925031E-16;1
-90;-42;6,93889390390723E-18;1
-90;-40;8,32667268468867E-17;1
-90;-38;2,22044604925031E-16;1
-90;-36;0;NaN
-90;-34;5,55111512312578E-17;1
-90;-32;0;NaN
-90;-30;0;NaN
-90;-28;1,11022302462516E-16;1
-90;-26;0;NaN
-90;-24;0;NaN
-90;-22;1,11022302462516E-16;1
-90;-20;1,11022302462516E-16;1
-90;-18;2,22044604925031E-16;1
-90;-16;1,11022302462516E-16;1
-90;-14;0;NaN
-90;-12;0;NaN
-90;-10;0;NaN
-90;-8;5,55111512312578E-17;1
-90;-6;0;NaN
-90;-4;5,55111512312578E-17;1
-90;-2;4,85722573273506E-17;1
-90;0;2,22044604925031E-16;1
-90;2;4,85722573273506E-17;1
-90;4;5,55111512312578E-17;1
-90;6;0;NaN
-90;8;5,55111512312578E-17;1
-90;10;0;NaN
-90;12;0;NaN
-90;14;0;NaN
-90;16;1,11022302462516E-16;1
-90;18;2,22044604925031E-16;1
-90;20;1,11022302462516E-16;1
-90;22;1,11022302462516E-16;1
-90;24;0;NaN
-90;26;0;NaN
-90;28;1,11022302462516E-16;1
-90;30;0;NaN
-90;32;0;NaN
-90;34;5,55111512312578E-17;1
-90;36;0;NaN
-90;38;2,22044604925031E-16;1
-90;40;8,32667268468867E-17;1
-90;42;6,93889390390723E-18;1
-90;44;2,22044604925031E-16;1
-90;46;1,73472347597681E-17;1
-90;48;2,77555756156289E-17;1
-90;50;0;NaN
-90;52;0;NaN
-90;54;1,11022302462516E-16;1
-90;56;2,22044604925031E-16;1
-90;58;0;NaN
-90;60;0;NaN
-90;62;2,22044604925031E-16;1
-90;64;1,11022302462516E-16;1
-90;66;1,11022302462516E-16;1
-90;68;0;NaN
-90;70;0;NaN
-90;72;0;NaN
-90;74;1,11022302462516E-16;1
-90;76;0;NaN
-90;78;0;NaN
-90;80;5,55111512312578E-17;1
-90;82;0;NaN
-90;84;2,77555756156289E-17;1
-90;86;4,16333634234434E-17;1
-90;88;0;NaN
-90;90;0;NaN
-90;92;0;NaN
-90;94;2,22044604925031E-16;1
-90;96;0;NaN
-90;98;5,55111512312578E-17;1
-88;-98;0;NaN
-88;-96;0;NaN
-88;-94;7,63278329429795E-17;1
-88;-92;2,22044604925031E-16;1
-88;-90;0;NaN
-88;-88;0;NaN
-88;-86;2,22044604925031E-16;1
-88;-84;2,22044604925031E-16;1
-88;-82;3,46944695195361E-17;1
-88;-80;0;NaN
-88;-78;0;NaN
-88;-76;5,55111512312578E-17;1
-88;-74;1,11022302462516E-16;1
-88;-72;2,22044604925031E-16;1
-88;-70;0;NaN
-88;-68;1,11022302462516E-16;1
-88;-66;2,22044604925031E-16;1
-88;-64;0;NaN
-88;-62;5,55111512312578E-17;1
-88;-60;0;NaN
-88;-58;1,11022302462516E-16;1
-88;-56;2,77555756156289E-17;1
-88;-54;0;NaN
-88;-52;2,22044604925031E-16;1
-88;-50;3,46944695195361E-17;1
-88;-48;2,22044604925031E-16;1
-88;-46;0;NaN
-88;-44;2,41234983378025E-17;1
-88;-42;2,22044604925031E-16;1
-88;-40;0;NaN
-88;-38;6,93889390390723E-18;1
-88;-36;2,22044604925031E-16;1
-88;-34;0;NaN
-88;-32;5,55111512312578E-17;1
-88;-30;0;NaN
-88;-28;2,22044604925031E-16;1
-88;-26;0;NaN
-88;-24;0;NaN
-88;-22;0;NaN
-88;-20;0;NaN
-88;-18;0;NaN
-88;-16;2,22044604925031E-16;1
-88;-14;0;NaN
-88;-12;0;NaN
-88;-10;2,22044604925031E-16;1
-88;-8;0;NaN
-88;-6;7,63278329429795E-17;1
-88;-4;0;NaN
-88;-2;0;NaN
-88;0;2,41777084464267E-17;1
-88;2;0;NaN
-88;4;0;NaN
-88;6;7,63278329429795E-17;1
-88;8;0;NaN
-88;10;2,22044604925031E-16;1
-88;12;0;NaN
-88;14;0;NaN
-88;16;2,22044604925031E-16;1
-88;18;0;NaN
-88;20;0;NaN
-88;22;0;NaN
-88;24;0;NaN
-88;26;0;NaN
-88;28;2,22044604925031E-16;1
-88;30;0;NaN
-88;32;5,55111512312578E-17;1
-88;34;0;NaN
-88;36;2,22044604925031E-16;1
-88;38;6,93889390390723E-18;1
-88;40;0;NaN
-88;42;2,22044604925031E-16;1
-88;44;2,41234983378025E-17;1
-88;46;0;NaN
-88;48;2,22044604925031E-16;1
-88;50;3,46944695195361E-17;1
-88;52;2,22044604925031E-16;1
-88;54;0;NaN
-88;56;2,77555756156289E-17;1
-88;58;1,11022302462516E-16;1
-88;60;0;NaN
-88;62;5,55111512312578E-17;1
-88;64;0;NaN
-88;66;2,22044604925031E-16;1
-88;68;1,11022302462516E-16;1
-88;70;0;NaN
-88;72;2,22044604925031E-16;1
-88;74;1,11022302462516E-16;1
-88;76;5,55111512312578E-17;1
-88;78;0;NaN
-88;80;0;NaN
-88;82;3,46944695195361E-17;1
-88;84;2,22044604925031E-16;1
-88;86;2,22044604925031E-16;1
-88;88;0;NaN
-88;90;0;NaN
-88;92;2,22044604925031E-16;1
-88;94;7,63278329429795E-17;1
-88;96;0;NaN
-88;98;0;NaN
-86;-98;0;NaN
-86;-96;2,77555756156289E-17;1
-86;-94;0;NaN
-86;-92;5,55111512312578E-17;1
-86;-90;4,16333634234434E-17;1
-86;-88;2,22044604925031E-16;1
-86;-86;0;NaN
-86;-84;5,55111512312578E-17;1
-86;-82;2,22044604925031E-16;1
-86;-80;5,55111512312578E-17;1
-86;-78;5,55111512312578E-17;1
-86;-76;0;NaN
-86;-74;0;NaN
-86;-72;0;NaN
-86;-70;0;NaN
-86;-68;1,11022302462516E-16;1
-86;-66;1,11022302462516E-16;1
-86;-64;1,11022302462516E-16;1
-86;-62;0;NaN
-86;-60;0;NaN
-86;-58;0;NaN
-86;-56;2,22044604925031E-16;1
-86;-54;0;NaN
-86;-52;2,77555756156289E-17;1
-86;-50;0;NaN
-86;-48;1,11022302462516E-16;1
-86;-46;3,46944695195361E-17;1
-86;-44;0;NaN
-86;-42;4,5102810375397E-17;1
-86;-40;0;NaN
-86;-38;0;NaN
-86;-36;5,55111512312578E-17;1
-86;-34;5,55111512312578E-17;1
-86;-32;0;NaN
-86;-30;0;NaN
-86;-28;0;NaN
-86;-26;0;NaN
-86;-24;0;NaN
-86;-22;0;NaN
-86;-20;0;NaN
-86;-18;0;NaN
-86;-16;0;NaN
-86;-14;1,11022302462516E-16;1
-86;-12;0;NaN
-86;-10;5,55111512312578E-17;1
-86;-8;0;NaN
-86;-6;2,22044604925031E-16;1
-86;-4;0;NaN
-86;-2;0;NaN
-86;0;0;NaN
-86;2;0;NaN
-86;4;0;NaN
-86;6;2,22044604925031E-16;1
-86;8;0;NaN
-86;10;5,55111512312578E-17;1
-86;12;0;NaN
-86;14;1,11022302462516E-16;1
-86;16;0;NaN
-86;18;0;NaN
-86;20;0;NaN
-86;22;0;NaN
-86;24;0;NaN
-86;26;0;NaN
-86;28;0;NaN
-86;30;0;NaN
-86;32;0;NaN
-86;34;5,55111512312578E-17;1
-86;36;5,55111512312578E-17;1
-86;38;0;NaN
-86;40;0;NaN
-86;42;4,5102810375397E-17;1
-86;44;0;NaN
-86;46;3,46944695195361E-17;1
-86;48;1,11022302462516E-16;1
-86;50;0;NaN
-86;52;2,77555756156289E-17;1
-86;54;0;NaN
-86;56;2,22044604925031E-16;1
-86;58;0;NaN
-86;60;0;NaN
-86;62;0;NaN
-86;64;1,11022302462516E-16;1
-86;66;1,11022302462516E-16;1
-86;68;1,11022302462516E-16;1
-86;70;0;NaN
-86;72;0;NaN
-86;74;0;NaN
-86;76;0;NaN
-86;78;5,55111512312578E-17;1
-86;80;5,55111512312578E-17;1
-86;82;2,22044604925031E-16;1
-86;84;5,55111512312578E-17;1
-86;86;0;NaN
-86;88;2,22044604925031E-16;1
-86;90;4,16333634234434E-17;1
-86;92;5,55111512312578E-17;1
-86;94;0;NaN
-86;96;2,77555756156289E-17;1
-86;98;0;NaN
-84;-98;5,55111512312578E-17;1
-84;-96;0;NaN
-84;-94;2,22044604925031E-16;1
-84;-92;6,93889390390723E-18;1
-84;-90;2,77555756156289E-17;1
-84;-88;2,22044604925031E-16;1
-84;-86;5,55111512312578E-17;1
-84;-84;0;NaN
-84;-82;0;NaN
-84;-80;0;NaN
-84;-78;2,77555756156289E-17;1
-84;-76;0;NaN
-84;-74;0;NaN
-84;-72;0;NaN
-84;-70;2,22044604925031E-16;1
-84;-68;0;NaN
-84;-66;0;NaN
-84;-64;0;NaN
-84;-62;0;NaN
-84;-60;5,55111512312578E-17;1
-84;-58;0;NaN
-84;-56;0;NaN
-84;-54;8,32667268468867E-17;1
-84;-52;1,11022302462516E-16;1
-84;-50;0;NaN
-84;-48;2,08166817117217E-17;1
-84;-46;2,77555756156289E-17;1
-84;-44;0;NaN
-84;-42;0;NaN
-84;-40;6,59194920871187E-17;1
-84;-38;0;NaN
-84;-36;0;NaN
-84;-34;8,32667268468867E-17;1
-84;-32;2,22044604925031E-16;1
-84;-30;1,11022302462516E-16;1
-84;-28;0;NaN
-84;-26;0;NaN
-84;-24;0;NaN
-84;-22;5,55111512312578E-17;1
-84;-20;0;NaN
-84;-18;0;NaN
-84;-16;5,55111512312578E-17;1
-84;-14;1,11022302462516E-16;1
-84;-12;2,22044604925031E-16;1
-84;-10;0;NaN
-84;-8;1,11022302462516E-16;1
-84;-6;0;NaN
-84;-4;5,55111512312578E-17;1
-84;-2;5,55111512312578E-17;1
-84;0;0;NaN
-84;2;5,55111512312578E-17;1
-84;4;5,55111512312578E-17;1
-84;6;0;NaN
-84;8;1,11022302462516E-16;1
-84;10;0;NaN
-84;12;2,22044604925031E-16;1
-84;14;1,11022302462516E-16;1
-84;16;5,55111512312578E-17;1
-84;18;0;NaN
-84;20;0;NaN
-84;22;5,55111512312578E-17;1
-84;24;0;NaN
-84;26;0;NaN
-84;28;0;NaN
-84;30;1,11022302462516E-16;1
-84;32;2,22044604925031E-16;1
-84;34;8,32667268468867E-17;1
-84;36;0;NaN
-84;38;0;NaN
-84;40;6,59194920871187E-17;1
-84;42;0;NaN
-84;44;0;NaN
-84;46;2,77555756156289E-17;1
-84;48;2,08166817117217E-17;1
-84;50;0;NaN
-84;52;1,11022302462516E-16;1
-84;54;8,32667268468867E-17;1
-84;56;0;NaN
-84;58;0;NaN
-84;60;5,55111512312578E-17;1
-84;62;0;NaN
-84;64;0;NaN
-84;66;0;NaN
-84;68;0;NaN
-84;70;2,22044604925031E-16;1
-84;72;0;NaN
-84;74;0;NaN
-84;76;0;NaN
-84;78;2,77555756156289E-17;1
-84;80;0;NaN
-84;82;0;NaN
-84;84;0;NaN
-84;86;5,55111512312578E-17;1
-84;88;2,22044604925031E-16;1
-84;90;2,77555756156289E-17;1
-84;92;6,93889390390723E-18;1
-84;94;2,22044604925031E-16;1
-84;96;0;NaN
-84;98;5,55111512312578E-17;1
-82;-98;2,22044604925031E-16;1
-82;-96;0;NaN
-82;-94;3,46944695195361E-17;1
-82;-92;0;NaN
-82;-90;0;NaN
-82;-88;3,46944695195361E-17;1
-82;-86;2,22044604925031E-16;1
-82;-84;0;NaN
-82;-82;0;NaN
-82;-80;0;NaN
-82;-78;2,22044604925031E-16;1
-82;-76;0;NaN
-82;-74;0;NaN
-82;-72;2,22044604925031E-16;1
-82;-70;0;NaN
-82;-68;0;NaN
-82;-66;0;NaN
-82;-64;0;NaN
-82;-62;5,55111512312578E-17;1
-82;-60;0;NaN
-82;-58;0;NaN
-82;-56;6,93889390390723E-17;1
-82;-54;0;NaN
-82;-52;0;NaN
-82;-50;6,41847686111419E-17;1
-82;-48;2,22044604925031E-16;1
-82;-46;0;NaN
-82;-44;6,93889390390723E-18;1
-82;-42;0;NaN
-82;-40;0;NaN
-82;-38;4,42354486374086E-17;1
-82;-36;2,22044604925031E-16;1
-82;-34;0;NaN
-82;-32;1,38777878078145E-17;1
-82;-30;1,11022302462516E-16;1
-82;-28;0;NaN
-82;-26;5,55111512312578E-17;1
-82;-24;0;NaN
-82;-22;2,22044604925031E-16;1
-82;-20;0;NaN
-82;-18;5,55111512312578E-17;1
-82;-16;2,22044604925031E-16;1
-82;-14;1,11022302462516E-16;1
-82;-12;4,16333634234434E-17;1
-82;-10;0;NaN
-82;-8;2,22044604925031E-16;1
-82;-6;4,16333634234434E-17;1
-82;-4;2,22044604925031E-16;1
-82;-2;2,22044604925031E-16;1
-82;0;1,38777878078145E-17;1
-82;2;2,22044604925031E-16;1
-82;4;2,22044604925031E-16;1
-82;6;4,16333634234434E-17;1
-82;8;2,22044604925031E-16;1
-82;10;0;NaN
-82;12;4,16333634234434E-17;1
-82;14;1,11022302462516E-16;1
-82;16;2,22044604925031E-16;1
-82;18;5,55111512312578E-17;1
-82;20;0;NaN
-82;22;2,22044604925031E-16;1
-82;24;0;NaN
-82;26;5,55111512312578E-17;1
-82;28;0;NaN
-82;30;1,11022302462516E-16;1
-82;32;1,38777878078145E-17;1
-82;34;0;NaN
-82;36;2,22044604925031E-16;1
-82;38;4,42354486374086E-17;1
-82;40;0;NaN
-82;42;0;NaN
-82;44;6,93889390390723E-18;1
-82;46;0;NaN
-82;48;2,22044604925031E-16;1
-82;50;6,41847686111419E-17;1
-82;52;0;NaN
-82;54;0;NaN
-82;56;6,93889390390723E-17;1
-82;58;0;NaN
-82;60;0;NaN
-82;62;5,55111512312578E-17;1
-82;64;0;NaN
-82;66;0;NaN
-82;68;0;NaN
-82;70;0;NaN
-82;72;2,22044604925031E-16;1
-82;74;0;NaN
-82;76;0;NaN
-82;78;2,22044604925031E-16;1
-82;80;0;NaN
-82;82;0;NaN
-82;84;0;NaN
-82;86;2,22044604925031E-16;1
-82;88;3,46944695195361E-17;1
-82;90;0;NaN
-82;92;0;NaN
-82;94;3,46944695195361E-17;1
-82;96;0;NaN
-82;98;2,22044604925031E-16;1
-80;-98;0;NaN
-80;-96;0;NaN
-80;-94;0;NaN
-80;-92;0;NaN
-80;-90;5,55111512312578E-17;1
-80;-88;0;NaN
-80;-86;5,55111512312578E-17;1
-80;-84;0;NaN
-80;-82;0;NaN
-80;-80;0;NaN
-80;-78;0;NaN
-80;-76;1,11022302462516E-16;1
-80;-74;0;NaN
-80;-72;0;NaN
-80;-70;0;NaN
-80;-68;0;NaN
-80;-66;1,11022302462516E-16;1
-80;-64;0;NaN
-80;-62;1,11022302462516E-16;1
-80;-60;1,11022302462516E-16;1
-80;-58;0;NaN
-80;-56;0;NaN
-80;-54;1,11022302462516E-16;1
-80;-52;1,38777878078145E-17;1
-80;-50;2,22044604925031E-16;1
-80;-48;0;NaN
-80;-46;0;NaN
-80;-44;2,22044604925031E-16;1
-80;-42;5,55111512312578E-17;1
-80;-40;1,11022302462516E-16;1
-80;-38;0;NaN
-80;-36;1,04083408558608E-17;1
-80;-34;1,11022302462516E-16;1
-80;-32;1,11022302462516E-16;1
-80;-30;0;NaN
-80;-28;0;NaN
-80;-26;0;NaN
