angle; absoluteError; relativeError
-98;-98;1,66533453693773E-16;1
-98;-96;0;NaN
-98;-94;1,11022302462516E-16;1
-98;-92;8,32667268468867E-17;1
-98;-90;0;NaN
-98;-88;1,11022302462516E-16;1
-98;-86;2,77555756156289E-17;1
-98;-84;1,11022302462516E-16;1
-98;-82;0;NaN
-98;-80;5,55111512312578E-17;1
-98;-78;0;NaN
-98;-76;5,55111512312578E-17;1
-98;-74;0;NaN
-98;-72;0;NaN
-98;-70;1,52655665885959E-16;1
-98;-68;0;NaN
-98;-66;0;NaN
-98;-64;0;NaN
-98;-62;1,11022302462516E-16;1
-98;-60;1,11022302462516E-16;1
-98;-58;5,55111512312578E-17;1
-98;-56;1,11022302462516E-16;1
-98;-54;5,55111512312578E-17;1
-98;-52;0;NaN
-98;-50;2,22044604925031E-16;1
-98;-48;1,11022302462516E-16;1
-98;-46;0;NaN
-98;-44;0;NaN
-98;-42;2,77555756156289E-17;1
-98;-40;1,11022302462516E-16;1
-98;-38;0;NaN
-98;-36;5,55111512312578E-17;1
-98;-34;0;NaN
-98;-32;5,55111512312578E-17;1
-98;-30;0;NaN
-98;-28;0;NaN
-98;-26;1,2490009027033E-16;1
-98;-24;0;NaN
-98;-22;1,11022302462516E-16;1
-98;-20;2,77555756156289E-17;1
-98;-18;0;NaN
-98;-16;0;NaN
-98;-14;5,55111512312578E-17;1
-98;-12;1,11022302462516E-16;1
-98;-10;5,55111512312578E-17;1
-98;-8;0;NaN
-98;-6;1,11022302462516E-16;1
-98;-4;1,11022302462516E-16;1
-98;-2;1,11022302462516E-16;1
-98;0;0;NaN
-98;2;8,32667268468867E-17;1
-98;4;1,11022302462516E-16;1
-98;6;1,11022302462516E-16;1
-98;8;5,55111512312578E-17;1
-98;10;1,11022302462516E-16;1
-98;12;5,55111512312578E-17;1
-98;14;0;NaN
-98;16;0;NaN
-98;18;4,16333634234434E-17;1
-98;20;0;NaN
-98;22;1,11022302462516E-16;1
-98;24;2,77555756156289E-17;1
-98;26;1,11022302462516E-16;1
-98;28;0;NaN
-98;30;0;NaN
-98;32;0;NaN
-98;34;0;NaN
-98;36;0;NaN
-98;38;0;NaN
-98;40;1,66533453693773E-16;1
-98;42;0;NaN
-98;44;0;NaN
-98;46;2,77555756156289E-17;1
-98;48;1,11022302462516E-16;1
-98;50;2,22044604925031E-16;1
-98;52;0;NaN
-98;54;0;NaN
-98;56;5,55111512312578E-17;1
-98;58;1,11022302462516E-16;1
-98;60;1,11022302462516E-16;1
-98;62;1,11022302462516E-16;1
-98;64;0;NaN
-98;66;0;NaN
-98;68;5,55111512312578E-17;1
-98;70;1,11022302462516E-16;1
-98;72;0;NaN
-98;74;0;NaN
-98;76;0;NaN
-98;78;5,55111512312578E-17;1
-98;80;0;NaN
-98;82;0;NaN
-98;84;1,38777878078145E-16;1
-98;86;0;NaN
-98;88;1,11022302462516E-16;1
-98;90;0;NaN
-98;92;1,11022302462516E-16;1
-98;94;1,11022302462516E-16;1
-98;96;0;NaN
-98;98;2,22044604925031E-16;1
-96;-98;0;NaN
-96;-96;0;NaN
-96;-94;2,77555756156289E-17;1
-96;-92;0;NaN
-96;-90;1,11022302462516E-16;1
-96;-88;2,77555756156289E-17;1
-96;-86;0;NaN
-96;-84;1,11022302462516E-16;1
-96;-82;5,55111512312578E-17;1
-96;-80;0;NaN
-96;-78;0;NaN
-96;-76;1,11022302462516E-16;1
-96;-74;0;NaN
-96;-72;4,16333634234434E-17;1
-96;-70;0;NaN
-96;-68;0;NaN
-96;-66;0;NaN
-96;-64;0;NaN
-96;-62;1,11022302462516E-16;1
-96;-60;5,55111512312578E-17;1
-96;-58;0;NaN
-96;-56;0;NaN
-96;-54;0;NaN
-96;-52;0;NaN
-96;-50;5,55111512312578E-17;1
-96;-48;0;NaN
-96;-46;1,11022302462516E-16;1
-96;-44;0;NaN
-96;-42;0;NaN
-96;-40;0;NaN
-96;-38;0;NaN
-96;-36;0;NaN
-96;-34;5,55111512312578E-17;1
-96;-32;0;NaN
-96;-30;0;NaN
-96;-28;1,38777878078145E-17;1
-96;-26;0;NaN
-96;-24;1,11022302462516E-16;1
-96;-22;0;NaN
-96;-20;1,11022302462516E-16;1
-96;-18;0;NaN
-96;-16;5,55111512312578E-17;1
-96;-14;0;NaN
-96;-12;0;NaN
-96;-10;1,11022302462516E-16;1
-96;-8;1,11022302462516E-16;1
-96;-6;0;NaN
-96;-4;0;NaN
-96;-2;1,11022302462516E-16;1
-96;0;0;NaN
-96;2;1,11022302462516E-16;1
-96;4;0;NaN
-96;6;0;NaN
-96;8;1,11022302462516E-16;1
-96;10;5,55111512312578E-17;1
-96;12;0;NaN
-96;14;0;NaN
-96;16;4,16333634234434E-17;1
-96;18;0;NaN
-96;20;0;NaN
-96;22;0;NaN
-96;24;1,11022302462516E-16;1
-96;26;0;NaN
-96;28;0;NaN
-96;30;0;NaN
-96;32;0;NaN
-96;34;0;NaN
-96;36;0;NaN
-96;38;0;NaN
-96;40;0;NaN
-96;42;0;NaN
-96;44;0;NaN
-96;46;0;NaN
-96;48;0;NaN
-96;50;5,55111512312578E-17;1
-96;52;0;NaN
-96;54;0;NaN
-96;56;0;NaN
-96;58;0;NaN
-96;60;5,55111512312578E-17;1
-96;62;1,11022302462516E-16;1
-96;64;1,11022302462516E-16;1
-96;66;0;NaN
