angle; absoluteError; relativeError
-98;0;NaN
-96;0;NaN
-94;1,11022302462516E-16;1
-92;2,77555756156289E-17;1
-90;2,22044604925031E-16;1
-88;1,11022302462516E-16;1
-86;2,08166817117217E-17;1
-84;2,22044604925031E-16;1
-82;0;NaN
-80;4,85722573273506E-17;1
-78;0;NaN
-76;2,22044604925031E-16;1
-74;2,42861286636753E-17;1
-72;0;NaN
-70;2,22044604925031E-16;1
-68;4,85722573273506E-17;1
-66;0;NaN
-64;2,22044604925031E-16;1
-62;5,55111512312578E-17;1
-60;0;NaN
-58;0;NaN
-56;5,55111512312578E-17;1
-54;0;NaN
-52;0;NaN
-50;0;NaN
-48;2,77555756156289E-17;1
-46;0;NaN
-44;1,11022302462516E-16;1
-42;6,93889390390723E-18;1
-40;0;NaN
-38;0;NaN
-36;5,55111512312578E-17;1
-34;0;NaN
-32;2,22044604925031E-16;1
-30;5,55111512312578E-17;1
-28;0;NaN
-26;0;NaN
-24;6,24500451351651E-17;1
-22;0;NaN
-20;0;NaN
-18;5,55111512312578E-17;1
-16;0;NaN
-14;2,22044604925031E-16;1
-12;0;NaN
-10;5,55111512312578E-17;1
-8;0;NaN
-6;0;NaN
-4;5,55111512312578E-17;1
-2;2,22044604925031E-16;1
0;1,11022302462516E-16;1
2;2,77555756156289E-17;1
4;2,22044604925031E-16;1
6;0;NaN
8;2,77555756156289E-17;1
10;2,22044604925031E-16;1
12;0;NaN
14;6,24500451351651E-17;1
16;2,22044604925031E-16;1
18;2,22044604925031E-16;1
20;2,77555756156289E-17;1
22;1,11022302462516E-16;1
24;2,22044604925031E-16;1
26;2,77555756156289E-17;1
28;0;NaN
30;0;NaN
32;0;NaN
34;5,55111512312578E-17;1
36;0;NaN
38;1,11022302462516E-16;1
40;5,55111512312578E-17;1
42;0;NaN
44;0;NaN
46;5,55111512312578E-17;1
48;0;NaN
50;2,22044604925031E-16;1
52;5,55111512312578E-17;1
54;0;NaN
56;2,22044604925031E-16;1
58;2,08166817117217E-17;1
60;0;NaN
62;2,22044604925031E-16;1
64;4,16333634234434E-17;1
66;1,11022302462516E-16;1
68;2,22044604925031E-16;1
70;2,77555756156289E-17;1
72;1,11022302462516E-16;1
74;2,22044604925031E-16;1
76;0;NaN
78;5,55111512312578E-17;1
80;0;NaN
82;0;NaN
84;5,55111512312578E-17;1
86;2,22044604925031E-16;1
88;0;NaN
90;2,77555756156289E-17;1
92;2,22044604925031E-16;1
94;0;NaN
96;6,24500451351651E-17;1
98;0;NaN
