angle; absoluteError; relativeError
-98;1,11022302462516E-16;1
-96;5,55111512312578E-17;1
-94;0;NaN
-92;0;NaN
-90;1,38777878078145E-17;1
-88;1,11022302462516E-16;1
-86;0;NaN
-84;1,94289029309402E-16;1
-82;0;NaN
-80;1,11022302462516E-16;1
-78;5,55111512312578E-17;1
-76;0;NaN
-74;1,11022302462516E-16;1
-72;0;NaN
-70;0;NaN
-68;5,55111512312578E-17;1
-66;1,11022302462516E-16;1
-64;1,11022302462516E-16;1
-62;2,77555756156289E-17;1
-60;0;NaN
-58;1,11022302462516E-16;1
-56;0;NaN
-54;1,11022302462516E-16;1
-52;2,22044604925031E-16;1
-50;0;NaN
-48;1,11022302462516E-16;1
-46;1,38777878078145E-16;1
-44;0;NaN
-42;1,11022302462516E-16;1
-40;1,11022302462516E-16;1
-38;0;NaN
-36;1,11022302462516E-16;1
-34;1,11022302462516E-16;1
-32;0;NaN
-30;5,55111512312578E-17;1
-28;1,11022302462516E-16;1
-26;0;NaN
-24;8,32667268468867E-17;1
-22;0;NaN
-20;0;NaN
-18;8,32667268468867E-17;1
-16;1,11022302462516E-16;1
-14;1,11022302462516E-16;1
-12;0;NaN
-10;1,11022302462516E-16;1
-8;1,66533453693773E-16;1
-6;0;NaN
-4;0;NaN
-2;1,38777878078145E-16;1
0;0;NaN
2;1,11022302462516E-16;1
4;2,77555756156289E-17;1
6;0;NaN
8;2,22044604925031E-16;1
10;5,55111512312578E-17;1
12;0;NaN
14;1,11022302462516E-16;1
16;0;NaN
18;1,11022302462516E-16;1
20;2,77555756156289E-17;1
22;0;NaN
24;1,11022302462516E-16;1
26;2,77555756156289E-17;1
28;0;NaN
30;1,11022302462516E-16;1
32;5,55111512312578E-17;1
34;1,11022302462516E-16;1
36;1,11022302462516E-16;1
38;1,11022302462516E-16;1
40;1,11022302462516E-16;1
42;1,11022302462516E-16;1
44;0;NaN
46;1,11022302462516E-16;1
48;8,32667268468867E-17;1
50;1,11022302462516E-16;1
52;2,22044604925031E-16;1
54;1,11022302462516E-16;1
56;0;NaN
58;1,11022302462516E-16;1
60;0;NaN
62;0;NaN
64;8,32667268468867E-17;1
66;1,11022302462516E-16;1
68;0;NaN
70;5,55111512312578E-17;1
72;0;NaN
74;1,11022302462516E-16;1
76;0;NaN
78;1,11022302462516E-16;1
80;5,55111512312578E-17;1
82;1,11022302462516E-16;1
84;2,22044604925031E-16;1
86;2,77555756156289E-17;1
88;1,11022302462516E-16;1
90;0;NaN
92;1,38777878078145E-17;1
94;0;NaN
96;1,11022302462516E-16;1
98;5,55111512312578E-17;1
